id,altitude,availableBikes,availableDocks,city,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
3225,"",8,5,"","",2019-06-12T19:16:56.000-07:00,40.7236589,"",-74.0641943,"",Baldwin at Montgomery,"",Baldwin at Montgomery,1,In Service,false,14
3244,"",15,25,"","",2019-06-12T19:16:44.000-07:00,40.73143724085228,"",-73.99490341544151,"",University Pl & E 8 St,"",University Pl & E 8 St,1,In Service,false,42
3333,"",21,0,"","",2019-06-12T19:17:40.000-07:00,40.6747055,"",-74.0075572,"",Columbia St & Lorraine St,"",Columbia St & Lorraine St,1,In Service,false,21
3348,"",16,3,"","",2019-06-12T19:14:54.000-07:00,40.677236,"",-74.015665,"",Coffey St & Conover St,"",Coffey St & Conover St,1,In Service,false,19
354,"",12,11,"","",2019-06-12T19:14:32.000-07:00,40.69363137,"",-73.96223558,"",Emerson Pl & Myrtle Ave,"",Emerson Pl & Myrtle Ave,1,In Service,false,23
483,"",24,9,"","",2019-06-12T19:17:16.000-07:00,40.73223272,"",-73.98889957,"",E 12 St & 3 Ave,"",E 12 St & 3 Ave,1,In Service,false,34
3347,"",15,2,"","",2019-06-12T19:17:42.000-07:00,40.6773429,"",-74.01275056,"",Van Brunt St & Wolcott St,"",Van Brunt St & Wolcott St,1,In Service,false,21
3401,"",0,0,"","",2019-05-31T11:25:47.000-07:00,40.6724811,"",-73.99331394,"",2 Ave & 9 St,"",2 Ave & 9 St,3,Not In Service,false,0
3648,"",4,21,"","",2019-06-12T19:14:43.000-07:00,40.697950315695444,"",-73.97077560424805,"",Flushing Ave & Vanderbilt Ave,"",Flushing Ave & Vanderbilt Ave,1,In Service,false,25
476,"",2,45,"","",2019-06-12T19:16:55.000-07:00,40.74394314,"",-73.97966069,"",E 31 St & 3 Ave,"",E 31 St & 3 Ave,1,In Service,false,47
3721,"",1,33,"","",2019-06-12T19:14:12.000-07:00,40.7675487799971,"",-73.9209334552288,"",31 St & Newtown Ave,"",31 St & Newtown Ave,1,In Service,false,35
